Source,Model,Raw_Text,Year,Price,Naval_Price
outside_202601.pdf,LEXUS,"LEXUS UX200 淺棕 2020/09 1987 手自排 6 49,000 汽油 92,971km A",2020/09,49000,56349
outside_202601.pdf,LEXUS,"LEXUS UX250h 白 2020/08 1987 手自排 7 44,000 油電 74,884km A+",2020/08,44000,50599
outside_202601.pdf,LEXUS,"LEXUS UX250h 白 2022/10 1987 手自排 9 31,000 油電 16,589km A+",2022/10,31000,35650
outside_202601.pdf,LEXUS,"LEXUS UX250h 白 2022/11 1987 手自排 7 78,000 油電 89,057km A+",2022/11,78000,89700
outside_202601.pdf,LEXUS,"LEXUS UX250h 白 2023/01 1987 手自排 9 55,000 油電 17,353km A+",2023/01,55000,63249
outside_202601.pdf,LEXUS,"LEXUS UX300h 白 2025/01 1987 自排 8 60,000 油電 8,377km C++",2025/01,60000,69000
outside_202601.pdf,TOYOTA,"TOYOTA ALPHARD 黑 2016/06 3456 手自排 1 ,065,000 汽油 58,257km A+",2016/06,65000,74750
outside_202601.pdf,TOYOTA,"TOYOTA ALPHARD 黑 2020/09 2494 手自排 1 ,470,000 油電 104,553km B+",2020/09,470000,540500
outside_202601.pdf,TOYOTA,"TOYOTA ALPHARD 白 2021/04 2494 手自排 1 ,651,000 油電 86,947km A",2021/04,651000,748650
outside_202601.pdf,TOYOTA,"TOYOTA ALPHARD 黑 2021/11 2494 手自排 1 ,714,000 油電 44,042km B",2021/11,714000,821099
outside_202601.pdf,TOYOTA,"TOYOTA ALPHARD 白 2022/07 2494 手自排 1 ,650,000 油電 102,201km B+",2022/07,650000,747500
outside_202601.pdf,TOYOTA,"TOYOTA ALPHARD 白 2022/10 2494 手自排 1 ,809,000 油電 38,499km A+",2022/10,809000,930349
outside_202601.pdf,TOYOTA,"TOYOTA ALPHARD 黑 2023/03 2494 手自排 1 ,880,000 油電 34,587km A+",2023/03,880000,1011999
outside_202601.pdf,TOYOTA,"TOYOTA ALTIS 黑 2012/01 1798 手自排 1 32,000 汽油 108,958km A+",2012/01,32000,36800
outside_202601.pdf,TOYOTA,"TOYOTA ALTIS 白 2012/03 1798 手自排 1 48,000 汽油 93,317km A+",2012/03,48000,55199
outside_202601.pdf,TOYOTA,"TOYOTA ALTIS 銀 2013/10 1798 手自排 1 35,000 汽油 151,749km B",2013/10,35000,40250
outside_202601.pdf,TOYOTA,"TOYOTA ALTIS 白 2013/11 1798 手自排 1 45,000 汽油 85,051km B",2013/11,45000,51749
outside_202601.pdf,TOYOTA,"TOYOTA ALTIS 灰 2013/12 1798 手自排 1 34,000 汽油 206,473km B",2013/12,34000,39100
